1: length=-1, (b, c, d) = (0, 0, -1)
65: length=1376256, (b, c, d) = (0, 21, 0)
66: length=1376257, (b, c, d) = (0, 21, 1)
67: length=1441791, (b, c, d) = (0, 22, -1)
68: length=1441792, (b, c, d) = (0, 22, 0)
69: length=1441793, (b, c, d) = (0, 22, 1)
70: length=1507327, (b, c, d) = (0, 23, -1)
71: length=1507328, (b, c, d) = (0, 23, 0)
72: length=1507329, (b, c, d) = (0, 23, 1)
73: length=1572863, (b, c, d) = (1, 0, -1)
74: length=1572864, (b, c, d) = (1, 0, 0)
75: length=1572865, (b, c, d) = (1, 0, 1)
76: length=1638399, (b, c, d) = (1, 1, -1)
77: length=1638400, (b, c, d) = (1, 1, 0)
78: length=1638401, (b, c, d) = (1, 1, 1)
79: length=1703935, (b, c, d) = (1, 2, -1)
80: length=1703936, (b, c, d) = (1, 2, 0)
81: length=1703937, (b, c, d) = (1, 2, 1)
82: length=1769471, (b, c, d) = (1, 3, -1)
83: length=1769472, (b, c, d) = (1, 3, 0)
84: length=1769473, (b, c, d) = (1, 3, 1)
85: length=1835007, (b, c, d) = (1, 4, -1)
86: length=1835008, (b, c, d) = (1, 4, 0)
87: length=1835009, (b, c, d) = (1, 4, 1)
88: length=1900543, (b, c, d) = (1, 5, -1)
89: length=1900544, (b, c, d) = (1, 5, 0)
90: length=1900545, (b, c, d) = (1, 5, 1)
91: length=1966079, (b, c, d) = (1, 6, -1)
92: length=1966080, (b, c, d) = (1, 6, 0)
93: length=1966081, (b, c, d) = (1, 6, 1)
94: length=2031615, (b, c, d) = (1, 7, -1)
95: length=2031616, (b, c, d) = (1, 7, 0)
96: length=2031617, (b, c, d) = (1, 7, 1)
97: length=2097151, (b, c, d) = (1, 8, -1)
98: length=2097152, (b, c, d) = (1, 8, 0)
99: length=2097153, (b, c, d) = (1, 8, 1)
100: length=2162687, (b, c, d) = (1, 9, -1)
101: length=2162688, (b, c, d) = (1, 9, 0)
102: length=2162689, (b, c, d) = (1, 9, 1)
103: length=2228223, (b, c, d) = (1, 10, -1)
104: length=2228224, (b, c, d) = (1, 10, 0)
105: length=2228225, (b, c, d) = (1, 10, 1)
106: length=2293759, (b, c, d) = (1, 11, -1)
107: length=2293760, (b, c, d) = (1, 11, 0)
108: length=2293761, (b, c, d) = (1, 11, 1)
109: length=2359295, (b, c, d) = (1, 12, -1)
110: length=2359296, (b, c, d) = (1, 12, 0)
111: length=2359297, (b, c, d) = (1, 12, 1)
112: length=2424831, (b, c, d) = (1, 13, -1)
113: length=2424832, (b, c, d) = (1, 13, 0)
114: length=2424833, (b, c, d) = (1, 13, 1)
115: length=2490367, (b, c, d) = (1, 14, -1)
116: length=2490368, (b, c, d) = (1, 14, 0)
117: length=2490369, (b, c, d) = (1, 14, 1)
118: length=2555903, (b, c, d) = (1, 15, -1)
119: length=2555904, (b, c, d) = (1, 15, 0)
120: length=2555905, (b, c, d) = (1, 15, 1)
121: length=2621439, (b, c, d) = (1, 16, -1)
122: length=2621440, (b, c, d) = (1, 16, 0)
123: length=2621441, (b, c, d) = (1, 16, 1)
124: length=2686975, (b, c, d) = (1, 17, -1)
125: length=2686976, (b, c, d) = (1, 17, 0)
126: length=2686977, (b, c, d) = (1, 17, 1)
127: length=2752511, (b, c, d) = (1, 18, -1)
128: length=2752512, (b, c, d) = (1, 18, 0)
129: length=2752513, (b, c, d) = (1, 18, 1)
130: length=2818047, (b, c, d) = (1, 19, -1)
131: length=2818048, (b, c, d) = (1, 19, 0)
132: length=2818049, (b, c, d) = (1, 19, 1)
133: length=2883583, (b, c, d) = (1, 20, -1)
134: length=2883584, (b, c, d) = (1, 20, 0)
135: length=2883585, (b, c, d) = (1, 20, 1)
136: length=2949119, (b, c, d) = (1, 21, -1)
137: length=2949120, (b, c, d) = (1, 21, 0)
138: length=2949121, (b, c, d) = (1, 21, 1)
139: length=3014655, (b, c, d) = (1, 22, -1)
140: length=3014656, (b, c, d) = (1, 22, 0)
141: length=3014657, (b, c, d) = (1, 22, 1)
142: length=3080191, (b, c, d) = (1, 23, -1)
143: length=3080192, (b, c, d) = (1, 23, 0)
144: length=3080193, (b, c, d) = (1, 23, 1)
145: length=3145727, (b, c, d) = (2, 0, -1)
146: length=3145728, (b, c, d) = (2, 0, 0)
147: length=3145729, (b, c, d) = (2, 0, 1)
148: length=3211263, (b, c, d) = (2, 1, -1)
149: length=3211264, (b, c, d) = (2, 1, 0)
150: length=3211265, (b, c, d) = (2, 1, 1)
151: length=3276799, (b, c, d) = (2, 2, -1)
152: length=3276800, (b, c, d) = (2, 2, 0)
153: length=3276801, (b, c, d) = (2, 2, 1)
154: length=3342335, (b, c, d) = (2, 3, -1)
155: length=3342336, (b, c, d) = (2, 3, 0)
156: length=3342337, (b, c, d) = (2, 3, 1)
157: length=3407871, (b, c, d) = (2, 4, -1)
158: length=3407872, (b, c, d) = (2, 4, 0)
159: length=3407873, (b, c, d) = (2, 4, 1)
160: length=3473407, (b, c, d) = (2, 5, -1)
161: length=3473408, (b, c, d) = (2, 5, 0)
162: length=3473409, (b, c, d) = (2, 5, 1)
163: length=3538943, (b, c, d) = (2, 6, -1)
164: length=3538944, (b, c, d) = (2, 6, 0)
165: length=3538945, (b, c, d) = (2, 6, 1)
166: length=3604479, (b, c, d) = (2, 7, -1)
167: length=3604480, (b, c, d) = (2, 7, 0)
168: length=3604481, (b, c, d) = (2, 7, 1)
169: length=3670015, (b, c, d) = (2, 8, -1)
170: length=3670016, (b, c, d) = (2, 8, 0)
171: length=3670017, (b, c, d) = (2, 8, 1)
172: length=3735551, (b, c, d) = (2, 9, -1)
173: length=3735552, (b, c, d) = (2, 9, 0)
174: length=3735553, (b, c, d) = (2, 9, 1)
175: length=3801087, (b, c, d) = (2, 10, -1)
176: length=3801088, (b, c, d) = (2, 10, 0)
177: length=3801089, (b, c, d) = (2, 10, 1)
178: length=3866623, (b, c, d) = (2, 11, -1)
179: length=3866624, (b, c, d) = (2, 11, 0)
180: length=3866625, (b, c, d) = (2, 11, 1)
181: length=3932159, (b, c, d) = (2, 12, -1)
182: length=3932160, (b, c, d) = (2, 12, 0)
183: length=3932161, (b, c, d) = (2, 12, 1)
184: length=3997695, (b, c, d) = (2, 13, -1)
185: length=3997696, (b, c, d) = (2, 13, 0)
186: length=3997697, (b, c, d) = (2, 13, 1)
187: length=4063231, (b, c, d) = (2, 14, -1)
188: length=4063232, (b, c, d) = (2, 14, 0)
189: length=4063233, (b, c, d) = (2, 14, 1)
190: length=4128767, (b, c, d) = (2, 15, -1)
191: length=4128768, (b, c, d) = (2, 15, 0)
192: length=4128769, (b, c, d) = (2, 15, 1)
193: length=4194303, (b, c, d) = (2, 16, -1)
194: length=4194304, (b, c, d) = (2, 16, 0)
195: length=4194305, (b, c, d) = (2, 16, 1)
196: length=4259839, (b, c, d) = (2, 17, -1)
197: length=4259840, (b, c, d) = (2, 17, 0)
198: length=4259841, (b, c, d) = (2, 17, 1)
199: length=4325375, (b, c, d) = (2, 18, -1)
200: length=4325376, (b, c, d) = (2, 18, 0)
201: length=4325377, (b, c, d) = (2, 18, 1)
202: length=4390911, (b, c, d) = (2, 19, -1)
203: length=4390912, (b, c, d) = (2, 19, 0)
204: length=4390913, (b, c, d) = (2, 19, 1)
205: length=4456447, (b, c, d) = (2, 20, -1)
206: length=4456448, (b, c, d) = (2, 20, 0)
207: length=4456449, (b, c, d) = (2, 20, 1)
208: length=4521983, (b, c, d) = (2, 21, -1)
209: length=4521984, (b, c, d) = (2, 21, 0)
210: length=4521985, (b, c, d) = (2, 21, 1)
211: length=4587519, (b, c, d) = (2, 22, -1)
212: length=4587520, (b, c, d) = (2, 22, 0)
213: length=4587521, (b, c, d) = (2, 22, 1)
214: length=4653055, (b, c, d) = (2, 23, -1)
215: length=4653056, (b, c, d) = (2, 23, 0)
216: length=4653057, (b, c, d) = (2, 23, 1)
2020-12-03 07:24:22,698 [main] INFO  hdfs.TestDFSStripedOutputStreamWithFailure (TestDFSStripedOutputStreamWithFailure.java:testCloseWithExceptionsInStreamer(257)) - runTestWithMultipleFailure2: length==655360, killPos=[218453, 436906], dnIndex=[4, 5]
NUM_DATA_BLOCKS  = 6
NUM_PARITY_BLOCKS= 3
CELL_SIZE        = 65536 (=64 KB)
BLOCK_SIZE       = 262144 (=256 KB)
BLOCK_GROUP_SIZE = 1572864 (=1.50 MB)
2020-12-03 07:24:22,776 [main] INFO  hdfs.MiniDFSCluster (MiniDFSCluster.java:<init>(493)) - starting cluster: numNameNodes=1, numDataNodes=9
Formatting using clusterid: testClusterID
2020-12-03 07:24:23,562 [main] INFO  namenode.FSEditLog (FSEditLog.java:newInstance(229)) - Edit logging is async:true
2020-12-03 07:24:23,577 [main] INFO  namenode.FSNamesystem (FSNamesystem.java:<init>(755)) - KeyProvider: null
2020-12-03 07:24:23,578 [main] INFO  namenode.FSNamesystem (FSNamesystemLock.java:<init>(123)) - fsLock is fair: true
2020-12-03 07:24:23,579 [main] INFO  namenode.FSNamesystem (FSNamesystemLock.java:<init>(141)) - Detailed lock hold time metrics enabled: false
2020-12-03 07:24:23,586 [main] INFO  namenode.FSNamesystem (FSNamesystem.java:<init>(780)) - fsOwner             = root (auth:SIMPLE)
2020-12-03 07:24:23,587 [main] INFO  namenode.FSNamesystem (FSNamesystem.java:<init>(781)) - supergroup          = supergroup
2020-12-03 07:24:23,587 [main] INFO  namenode.FSNamesystem (FSNamesystem.java:<init>(782)) - isPermissionEnabled = true
2020-12-03 07:24:23,588 [main] INFO  namenode.FSNamesystem (FSNamesystem.java:<init>(793)) - HA Enabled: false
2020-12-03 07:24:23,639 [main] INFO  common.Util (Util.java:isDiskStatsEnabled(395)) - dfs.datanode.fileio.profiling.sampling.percentage set to 0. Disabling file IO profiling
2020-12-03 07:24:23,644 [main] INFO  Configuration.deprecation (Configuration.java:logDeprecation(1395)) - hadoop.configured.node.mapping is deprecated. Instead, use net.topology.configured.node.mapping
2020-12-03 07:24:23,645 [main] INFO  Configuration.deprecation (Configuration.java:logDeprecation(1395)) - No unit for dfs.heartbeat.interval(1) assuming SECONDS
2020-12-03 07:24:23,645 [main] INFO  blockmanagement.DatanodeManager (DatanodeManager.java:<init>(303)) - dfs.block.invalidate.limit: configured=1000, counted=20, effected=1000
2020-12-03 07:24:23,645 [main] INFO  blockmanagement.DatanodeManager (DatanodeManager.java:<init>(311)) - dfs.namenode.datanode.registration.ip-hostname-check=true
2020-12-03 07:24:23,645 [main] INFO  Configuration.deprecation (Configuration.java:logDeprecation(1395)) - No unit for dfs.heartbeat.interval(1) assuming SECONDS
2020-12-03 07:24:23,653 [main] INFO  blockmanagement.BlockManager (InvalidateBlocks.java:printBlockDeletionTime(79)) - dfs.namenode.startup.delay.block.deletion.sec is set to 000:00:00:00.000
2020-12-03 07:24:23,654 [main] INFO  blockmanagement.BlockManager (InvalidateBlocks.java:printBlockDeletionTime(85)) - The block deletion will start around 2020 Dec 03 07:24:23
2020-12-03 07:24:23,656 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(395)) - Computing capacity for map BlocksMap
2020-12-03 07:24:23,656 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(396)) - VM type       = 64-bit
2020-12-03 07:24:23,657 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(397)) - 2.0% max memory 1.9 GB = 39.3 MB
2020-12-03 07:24:23,657 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(402)) - capacity      = 2^22 = 4194304 entries
2020-12-03 07:24:23,673 [main] INFO  Configuration.deprecation (Configuration.java:logDeprecation(1395)) - No unit for dfs.heartbeat.interval(1) assuming SECONDS
2020-12-03 07:24:23,674 [main] INFO  Configuration.deprecation (Configuration.java:logDeprecation(1395)) - No unit for dfs.heartbeat.interval(1) assuming SECONDS
2020-12-03 07:24:23,678 [main] INFO  blockmanagement.BlockManager (BlockManager.java:createSPSManager(5183)) - Storage policy satisfier is disabled
2020-12-03 07:24:23,678 [main] INFO  blockmanagement.BlockManager (BlockManager.java:createBlockTokenSecretManager(595)) - dfs.block.access.token.enable = false
2020-12-03 07:24:23,681 [main] INFO  Configuration.deprecation (Configuration.java:logDeprecation(1395)) - No unit for dfs.heartbeat.interval(1) assuming SECONDS
2020-12-03 07:24:23,686 [main] INFO  Configuration.deprecation (Configuration.java:logDeprecation(1395)) - No unit for dfs.namenode.safemode.extension(0) assuming MILLISECONDS
2020-12-03 07:24:23,686 [main] INFO  blockmanagement.BlockManagerSafeMode (BlockManagerSafeMode.java:<init>(161)) - dfs.namenode.safemode.threshold-pct = 0.9990000128746033
2020-12-03 07:24:23,687 [main] INFO  blockmanagement.BlockManagerSafeMode (BlockManagerSafeMode.java:<init>(162)) - dfs.namenode.safemode.min.datanodes = 0
2020-12-03 07:24:23,687 [main] INFO  blockmanagement.BlockManagerSafeMode (BlockManagerSafeMode.java:<init>(164)) - dfs.namenode.safemode.extension = 0
2020-12-03 07:24:23,688 [main] INFO  blockmanagement.BlockManager (BlockManager.java:<init>(581)) - defaultReplication         = 3
2020-12-03 07:24:23,688 [main] INFO  blockmanagement.BlockManager (BlockManager.java:<init>(582)) - maxReplication             = 512
2020-12-03 07:24:23,688 [main] INFO  blockmanagement.BlockManager (BlockManager.java:<init>(583)) - minReplication             = 1
2020-12-03 07:24:23,688 [main] INFO  blockmanagement.BlockManager (BlockManager.java:<init>(584)) - maxReplicationStreams      = 0
2020-12-03 07:24:23,689 [main] INFO  blockmanagement.BlockManager (BlockManager.java:<init>(585)) - redundancyRecheckInterval  = 3000ms
2020-12-03 07:24:23,689 [main] INFO  blockmanagement.BlockManager (BlockManager.java:<init>(586)) - encryptDataTransfer        = false
2020-12-03 07:24:23,689 [main] INFO  blockmanagement.BlockManager (BlockManager.java:<init>(587)) - maxNumBlocksToLog          = 1000
2020-12-03 07:24:23,726 [main] INFO  namenode.FSDirectory (SerialNumberManager.java:<clinit>(51)) - GLOBAL serial map: bits=29 maxEntries=536870911
2020-12-03 07:24:23,727 [main] INFO  namenode.FSDirectory (SerialNumberManager.java:<clinit>(51)) - USER serial map: bits=24 maxEntries=16777215
2020-12-03 07:24:23,727 [main] INFO  namenode.FSDirectory (SerialNumberManager.java:<clinit>(51)) - GROUP serial map: bits=24 maxEntries=16777215
2020-12-03 07:24:23,727 [main] INFO  namenode.FSDirectory (SerialNumberManager.java:<clinit>(51)) - XATTR serial map: bits=24 maxEntries=16777215
2020-12-03 07:24:23,742 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(395)) - Computing capacity for map INodeMap
2020-12-03 07:24:23,743 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(396)) - VM type       = 64-bit
2020-12-03 07:24:23,743 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(397)) - 1.0% max memory 1.9 GB = 19.6 MB
2020-12-03 07:24:23,743 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(402)) - capacity      = 2^21 = 2097152 entries
2020-12-03 07:24:23,750 [main] INFO  namenode.FSDirectory (FSDirectory.java:<init>(290)) - ACLs enabled? false
2020-12-03 07:24:23,750 [main] INFO  namenode.FSDirectory (FSDirectory.java:<init>(294)) - POSIX ACL inheritance enabled? true
2020-12-03 07:24:23,750 [main] INFO  namenode.FSDirectory (FSDirectory.java:<init>(298)) - XAttrs enabled? true
2020-12-03 07:24:23,751 [main] INFO  namenode.NameNode (FSDirectory.java:<init>(362)) - Caching file names occurring more than 10 times
2020-12-03 07:24:23,756 [main] INFO  snapshot.SnapshotManager (SnapshotManager.java:<init>(124)) - Loaded config captureOpenFiles: false, skipCaptureAccessTimeOnlyChange: false, snapshotDiffAllowSnapRootDescendant: true, maxSnapshotLimit: 65536
2020-12-03 07:24:23,761 [main] INFO  snapshot.SnapshotManager (DirectoryDiffListFactory.java:init(43)) - SkipList is disabled
2020-12-03 07:24:23,765 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(395)) - Computing capacity for map cachedBlocks
2020-12-03 07:24:23,766 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(396)) - VM type       = 64-bit
2020-12-03 07:24:23,766 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(397)) - 0.25% max memory 1.9 GB = 4.9 MB
2020-12-03 07:24:23,766 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(402)) - capacity      = 2^19 = 524288 entries
2020-12-03 07:24:23,775 [main] INFO  metrics.TopMetrics (TopMetrics.java:logConf(76)) - NNTop conf: dfs.namenode.top.window.num.buckets = 10
2020-12-03 07:24:23,775 [main] INFO  metrics.TopMetrics (TopMetrics.java:logConf(78)) - NNTop conf: dfs.namenode.top.num.users = 10
2020-12-03 07:24:23,776 [main] INFO  metrics.TopMetrics (TopMetrics.java:logConf(80)) - NNTop conf: dfs.namenode.top.windows.minutes = 1,5,25
2020-12-03 07:24:23,780 [main] INFO  namenode.FSNamesystem (FSNamesystem.java:initRetryCache(996)) - Retry cache on namenode is enabled
2020-12-03 07:24:23,780 [main] INFO  namenode.FSNamesystem (FSNamesystem.java:initRetryCache(1004)) - Retry cache will use 0.03 of total heap and retry cache entry expiry time is 600000 millis
2020-12-03 07:24:23,783 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(395)) - Computing capacity for map NameNodeRetryCache
2020-12-03 07:24:23,783 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(396)) - VM type       = 64-bit
2020-12-03 07:24:23,783 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(397)) - 0.029999999329447746% max memory 1.9 GB = 603.0 KB
2020-12-03 07:24:23,784 [main] INFO  util.GSet (LightWeightGSet.java:computeCapacity(402)) - capacity      = 2^16 = 65536 entries
2020-12-03 07:24:23,816 [main] INFO  namenode.FSImage (FSImage.java:format(185)) - Allocated new BlockPoolId: BP-101448600-172.17.0.4-1606980263805
2020-12-03 07:24:23,955 [main] INFO  common.Storage (NNStorage.java:format(595)) - Storage directory /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/name-0-1 has been successfully formatted.
2020-12-03 07:24:24,015 [main] INFO  common.Storage (NNStorage.java:format(595)) - Storage directory /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/name-0-2 has been successfully formatted.
2020-12-03 07:24:24,075 [FSImageSaver for /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/name-0-2 of type IMAGE_AND_EDITS] INFO  namenode.FSImageFormatProtobuf (FSImageFormatProtobuf.java:save(512)) - Saving image file /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/name-0-2/current/fsimage.ckpt_0000000000000000000 using no compression
2020-12-03 07:24:24,075 [FSImageSaver for /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/name-0-1 of type IMAGE_AND_EDITS] INFO  namenode.FSImageFormatProtobuf (FSImageFormatProtobuf.java:save(512)) - Saving image file /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/name-0-1/current/fsimage.ckpt_0000000000000000000 using no compression
2020-12-03 07:24:24,235 [FSImageSaver for /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/name-0-1 of type IMAGE_AND_EDITS] INFO  namenode.FSImageFormatProtobuf (FSImageFormatProtobuf.java:save(516)) - Image file /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/name-0-1/current/fsimage.ckpt_0000000000000000000 of size 399 bytes saved in 0 seconds .
2020-12-03 07:24:24,235 [FSImageSaver for /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/name-0-2 of type IMAGE_AND_EDITS] INFO  namenode.FSImageFormatProtobuf (FSImageFormatProtobuf.java:save(516)) - Image file /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/name-0-2/current/fsimage.ckpt_0000000000000000000 of size 399 bytes saved in 0 seconds .
2020-12-03 07:24:24,327 [main] INFO  namenode.NNStorageRetentionManager (NNStorageRetentionManager.java:getImageTxIdToRetain(203)) - Going to retain 1 images with txid >= 0
2020-12-03 07:24:24,332 [main] INFO  namenode.NameNode (NameNode.java:createNameNode(1632)) - createNameNode []
2020-12-03 07:24:24,693 [main] INFO  impl.MetricsConfig (MetricsConfig.java:loadFirst(118)) - Loaded properties from hadoop-metrics2.properties
2020-12-03 07:24:24,792 [main] INFO  impl.MetricsSystemImpl (MetricsSystemImpl.java:startTimer(374)) - Scheduled Metric snapshot period at 0 second(s).
2020-12-03 07:24:24,793 [main] INFO  impl.MetricsSystemImpl (MetricsSystemImpl.java:start(191)) - NameNode metrics system started
2020-12-03 07:24:24,841 [main] INFO  namenode.NameNodeUtils (NameNodeUtils.java:getClientNamenodeAddress(79)) - fs.defaultFS is hdfs://127.0.0.1:0
2020-12-03 07:24:24,901 [org.apache.hadoop.util.JvmPauseMonitor$Monitor@3cebbb30] INFO  util.JvmPauseMonitor (JvmPauseMonitor.java:run(188)) - Starting JVM pause monitor
2020-12-03 07:24:24,920 [main] INFO  hdfs.DFSUtil (DFSUtil.java:httpServerTemplateForNNAndJN(1641)) - Starting Web-server for hdfs at: http://localhost:0
2020-12-03 07:24:24,927 [main] INFO  http.HttpServer2 (HttpServer2.java:getWebAppsPath(1072)) - Web server is in development mode. Resources will be read from the source tree.
2020-12-03 07:24:24,956 [main] INFO  util.log (Log.java:initialized(192)) - Logging initialized @3351ms
2020-12-03 07:24:25,125 [main] INFO  server.AuthenticationFilter (AuthenticationFilter.java:constructSecretProvider(240)) - Unable to initialize FileSignerSecretProvider, falling back to use random secrets.
2020-12-03 07:24:25,128 [main] INFO  http.HttpRequestLog (HttpRequestLog.java:getRequestLog(81)) - Http request log for http.requests.namenode is not defined
2020-12-03 07:24:25,129 [main] INFO  http.HttpServer2 (HttpServer2.java:getWebAppsPath(1072)) - Web server is in development mode. Resources will be read from the source tree.
2020-12-03 07:24:25,140 [main] INFO  http.HttpServer2 (HttpServer2.java:addGlobalFilter(990)) - Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
2020-12-03 07:24:25,142 [main] INFO  http.HttpServer2 (HttpServer2.java:addFilter(963)) - Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context hdfs
2020-12-03 07:24:25,142 [main] INFO  http.HttpServer2 (HttpServer2.java:addFilter(973)) - Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
2020-12-03 07:24:25,143 [main] INFO  http.HttpServer2 (HttpServer2.java:addFilter(973)) - Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
2020-12-03 07:24:25,171 [main] INFO  http.HttpServer2 (NameNodeHttpServer.java:initWebHdfs(102)) - Added filter 'org.apache.hadoop.hdfs.web.AuthFilter' (class=org.apache.hadoop.hdfs.web.AuthFilter)
2020-12-03 07:24:25,172 [main] INFO  http.HttpServer2 (HttpServer2.java:addJerseyResourcePackage(806)) - addJerseyResourcePackage: packageName=org.apache.hadoop.hdfs.server.namenode.web.resources;org.apache.hadoop.hdfs.web.resources, pathSpec=/webhdfs/v1/*
2020-12-03 07:24:25,266 [main] INFO  http.HttpServer2 (HttpServer2.java:bindListener(1206)) - Jetty bound to port 40649
2020-12-03 07:24:25,268 [main] INFO  server.Server (Server.java:doStart(351)) - jetty-9.3.24.v20180605, build timestamp: 2018-06-05T17:11:56Z, git hash: 84205aa28f11a4f31f2a3b86d1bba2cc8ab69827
2020-12-03 07:24:25,389 [main] INFO  handler.ContextHandler (ContextHandler.java:doStart(781)) - Started o.e.j.s.ServletContextHandler@508dec2b{/logs,file:///root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/log/,AVAILABLE}
2020-12-03 07:24:25,390 [main] INFO  handler.ContextHandler (ContextHandler.java:doStart(781)) - Started o.e.j.s.ServletContextHandler@37313c65{/static,file:///root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/src/main/webapps/static/,AVAILABLE}
2020-12-03 07:24:25,449 [main] INFO  handler.ContextHandler (ContextHandler.java:doStart(781)) - Started o.e.j.w.WebAppContext@266374ef{/,file:///root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/src/main/webapps/hdfs/,AVAILABLE}{/hdfs}
